license_id,name,category,lat,lng
2924558,Southern Chicago LLC,liquor_tavern,41.85541,-87.62570
2924575,OPEN ARMS INFANT CENTER,other,41.72115,-87.57518
2929007,MOUNT CAROL'S FROZEN TREATS LLC,restaurant_cafe,41.74982,-87.69024
2929288,ORGANICLIFE,restaurant_cafe,41.74315,-87.58788
2929309,14 Forty Bar & Grill,restaurant_cafe,41.86121,-87.70567
2929561,Archer Heights Healthcare LLC,medical_health,41.81199,-87.74313
2929613,SMALL CHEVAL,restaurant_cafe,41.96150,-87.68360
2929633,ROSEBERRYS TREATS,other,41.78729,-87.62325
2929869,GRETEL,restaurant_cafe,41.91737,-87.69847
2929870,GRETEL,liquor_tavern,41.91737,-87.69847
2929981,WINTRUST ARENA,other,41.85300,-87.62219
2930340,BELLYBOWL,restaurant_cafe,41.83881,-87.64644
2933982,Lake Effect Brewing Company,liquor_tavern,41.93692,-87.72051
2933983,Lake Effect Brewing Company,liquor_tavern,41.93692,-87.72051
2934015,K L SUITES,personal_services,41.76157,-87.66355
2934094,BRAIN BUILDERS ACADEMY,other,41.87838,-87.65061
2934295,MIKAMI,restaurant_cafe,41.86400,-87.62423
2934565,ITKA KARATE GLOBAL,other,41.95296,-87.77616
2934571,DREAMFUL CREATION EVENT SPACE,other,41.68347,-87.64195
2934599,LITTLE FOOT STEPS LLC,other,41.88035,-87.76495
2934768,BABA SHAWARMA INC.,restaurant_cafe,41.99776,-87.69980
2934807,AITANAS TIRE AND AUTO REPAIR,other,41.78688,-87.66266
2938280,CHICAGO TRUE BLUE,personal_services,41.91014,-87.69417
2938422,KRIBS 2 KOLLEGES ACADEMY,other,41.69190,-87.67986
2938423,GZN INFANT SUITS,other,41.76566,-87.61194
2938470,WELLS CLEANERS,personal_services,41.91257,-87.63461
2938636,PingPod,other,41.89470,-87.63282
2938645,SPARKLE KLEEN CAR WASH,other,41.88051,-87.73474
2938652,MARIN J SHOE REPAIR,personal_services,41.96084,-87.72797
2938654,Char Crust Dry-Rub Seasonings,other,41.95577,-87.74316
2938721,TRAVELIN TOM'S COFFEE OF NORWOOD PARK,other,41.85045,-87.65880
2938726,BUSINESS S'MORES,other,41.98571,-87.79080
2938802,CHATHAM DELI AND SOUL,restaurant_cafe,41.74404,-87.60697
2938839,Maxwells Trading,liquor_tavern,41.88752,-87.66510
2939001,COMPLETE CARE AT SHERIDAN COMMONS,medical_health,41.96465,-87.66393
2939151,M HOUSE,liquor_tavern,41.84462,-87.64649
2939170,LAS HAYAS,other,41.85045,-87.65880
2939171,EDUARDO MARQUEZ,other,41.80401,-87.73219
2939191,SHABU PLUS CHINATOWN,restaurant_cafe,41.85362,-87.63298
2939192,SHABU PLUS CHINATOWN,liquor_tavern,41.85362,-87.63298
2939405,"MIDWEST FOREIGN AND DOMESTIC AUTO REPAIR, INC.",other,41.85739,-87.68458
2939427,AFTER SCHOOL ADVENTURES,other,41.72123,-87.66910
2943392,4170 TRADING,financial_services,41.89324,-87.63842
2943411,HYDE PARK AUTO SPA LLC,other,41.79488,-87.58774
2943474,RAEKWON'S SCHOLASTIC DAYCARE ACADEMY II LLC,other,41.73692,-87.59366
2943634,Victor Urueta Lopez,other,41.87431,-87.62532
2943664,JOE & THE JUICE,restaurant_cafe,41.87856,-87.63652
2943744,The Vig West Loop,restaurant_cafe,41.88717,-87.65350
2943745,The Vig West Loop,other,41.88717,-87.65350
2943746,The Vig West Loop,liquor_tavern,41.88717,-87.65350
2943760,CAFE LIBRA,restaurant_cafe,41.97596,-87.67664
2943828,WESTERN JERK,restaurant_cafe,41.73599,-87.65721
2944205,Modern Relish,liquor_tavern,41.89339,-87.66736
2944268,ONE PARKING,other,41.89503,-87.62540
2948018,HOSTE,restaurant_cafe,41.85941,-87.67346
2948019,HOSTE,liquor_tavern,41.85941,-87.67346
2948183,Tel Aviv Slices Pizza LLC,restaurant_cafe,41.99718,-87.71739
2948356,MOUNTAIN TOP KIDS,other,41.99755,-87.70630
2948447,Lawrence Food & Liquors,liquor_tavern,41.96756,-87.77608
2948741,CAR GUYS CHICAGO INC.,other,41.89859,-87.69663
2948747,SLICE FACTORY PILSEN,restaurant_cafe,41.85794,-87.66396
2948779,ROSEFINCH BODY PIERCING,personal_services,41.89328,-87.67710
2948790,SHARKS FISH & CHICKEN,restaurant_cafe,41.71587,-87.64321
2948795,S.K.Y.,liquor_tavern,41.92391,-87.63666
2948796,S.K.Y.,liquor_tavern,41.92391,-87.63666
