hud_id,project_name,address,zip,units_total,units_low_income,annual_allocated_amount,allocation_year,placed_in_service_year,lat,lng,coord_source
ILB20010040,PROGRESSIVE SQUARE,4746 S WABASH AVE,60615,24,24,,1999,2001,41.808418,-87.624693,hud_source
ILB20010045,SENIOR SUTIES OF HEGEWISCH,13550 S AVE O,60633,84,84,588000,2000,2001,41.648315,-87.540211,hud_source
ILB20010802,ST EDMUND'S MANOR,5947 S INDIANA AVE,60637,31,29,,2000,2001,41.786107,-87.620399,hud_source
ILB20010803,NORTH TOWN VILLAGE I,1321 N. BURLING STREET,,116,79,1170116,2000,2001,41.905465,-87.647095,hud_source
ILB20010804,LA PAZ PLACE APTS,3533 W DICKENS AVE,60647,44,44,385408,1998,2001,41.918974,-87.714888,hud_source
ILB20010805,HOLLAND,240 W 107TH PL,60628,81,81,658298,2001,2001,41.699043,-87.629702,hud_source
ILB20010806,HIGHLANDS TUDOR MANOR,7012 S CREGIER AVE,60649,87,87,460929,1999,2001,41.767724,-87.581461,hud_source
ILB20010807,BRAINERD SENIOR CENTER,8915 S LOOMIS ST,60620,60,59,463754,1999,2001,41.731673,-87.657841,hud_source
ILB20019001,NTV1,1311 N HALSTED ST,60642-2661,116,78,,9999,2001,41.905324,-87.647892,hud_source
ILB20019003,WESTHAVEN PARK II - A - 8120,2237 W MAYPOLE AVE,60612-2645,121,97,,2002,2001,41.883816,-87.682473,hud_source
ILB20019902,HOLLAND APARTMENTS,240 W. 107TH PLACE,11111,81,81,,1999,2001,41.699043,-87.629702,hud_source
ILB20019903,PROGRESS,4752 S WABASH AVE,60615,24,24,302144,1999,2001,41.808313,-87.62469,hud_source
